date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:53:29	85644/85644	---M--	200	added ('OK')	image/jpeg	etag:%2214e8c-601df97664dca%22	https://interportglobal.com/img/bg/mob-freight-forwarding.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-freight-forwarding.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:31	176704/176704	---M--	200	added ('OK')	image/jpeg	etag:%222b240-601df975d25cf%22	https://interportglobal.com/img/bg/mob-air-freight.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-air-freight.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:32	439910/439910	---M--	200	added ('OK')	image/jpeg	etag:%226b666-601df977198b3%22	https://interportglobal.com/img/bg/mob-ocean-freight.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-ocean-freight.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:32	435783/435783	---M--	200	added ('OK')	image/jpeg	etag:%226a647-601df97769a13%22	https://interportglobal.com/img/bg/mob-rail-freight.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-rail-freight.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:33	158489/158489	---M--	200	added ('OK')	image/jpeg	etag:%2226b19-601df977820bd%22	https://interportglobal.com/img/bg/mob-road-freight.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-road-freight.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:33	99876/99876	---M--	200	added ('OK')	image/jpeg	etag:%2218624-601df977bf936%22	https://interportglobal.com/img/bg/mob-vessel-handling.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-vessel-handling.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:33	94828/94828	---M--	200	added ('OK')	image/jpeg	etag:%221726c-601df975cd7ad%22	https://interportglobal.com/img/bg/mob-about-banner.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-about-banner.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:33	282/282	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Oct%202024%2012:23:36%20GMT	https://interportglobal.com/img/bg/mob-ivrs.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-ivrs.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:34	161786/161786	---M--	200	added ('OK')	image/jpeg	etag:%22277fa-601df976a8405%22	https://interportglobal.com/img/bg/mob-inco-terms.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/mob-inco-terms.jpg	(from https://interportglobal.com/css/responsive.css)
17:53:35	282/282	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Oct%202024%2012:23:38%20GMT	https://interportglobal.com/a	C:/Users/prajw/Downloads/new%20website/interportglobal.com/a	(from https://connect.facebook.net/en_US/fbevents.js)
17:53:35	282/282	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Oct%202024%2012:23:38%20GMT	https://interportglobal.com/POST	C:/Users/prajw/Downloads/new%20website/interportglobal.com/POST	(from https://connect.facebook.net/en_US/fbevents.js)
